highway,osmid,x,y,geometry,elevation
,6060685590,-117.709337,34.1005631,POINT (-117.709337 34.1005631),374.1544799804688
,6060685591,-117.71035069999999,34.100545000000004,POINT (-117.7103507 34.100545),373.6822204589844
,5257230632,-117.71040690000001,34.1033114,POINT (-117.7104069 34.1033114),383.0836791992188
,5257230634,-117.7108093,34.1031136,POINT (-117.7108093 34.1031136),382.8642883300781
,5257230635,-117.7108093,34.1038165,POINT (-117.7108093 34.1038165),383.8399047851562
,5257230636,-117.710871,34.103815399999995,POINT (-117.710871 34.1038154),384.0816650390625
,5257230638,-117.7108669,34.1031137,POINT (-117.7108669 34.1031137),382.8746643066406
,5257230639,-117.7108723,34.1038954,POINT (-117.7108723 34.1038954),384.3701171875
,5257230641,-117.7110158,34.104403999999995,POINT (-117.7110158 34.104404),385.4041442871094
,5257230643,-117.71040500000001,34.10316470000001,POINT (-117.710405 34.1031647),382.9154052734375
,390043986,-117.71150690000002,34.105329299999994,POINT (-117.7115069 34.1053293),387.8268432617188
,390043987,-117.7108751,34.105327700000004,POINT (-117.7108751 34.1053277),388.7474670410156
,390043988,-117.71002920000001,34.1053157,POINT (-117.7100292 34.1053157),389.5841674804688
,390043989,-117.7093148,34.1053079,POINT (-117.7093148 34.1053079),389.7506103515625
,390043994,-117.7081403,34.1049402,POINT (-117.7081403 34.1049402),390.2848510742188
,5366824701,-117.70762590000001,34.1046468,POINT (-117.7076259 34.1046468),390.3336181640625
,660558174,-117.70810719999999,34.103225,POINT (-117.7081072 34.103225),385.1982727050781
,660558175,-117.70710520000002,34.103233700000004,POINT (-117.7071052 34.1032337),386.0366516113281
,390043999,-117.7071498,34.10468710000001,POINT (-117.7071498 34.1046871),390.6736145019531
,660558177,-117.70813059999999,34.1025613,POINT (-117.7081306 34.1025613),382.614501953125
,5257214322,-117.7093375,34.103806799999994,POINT (-117.7093375 34.1038068),385.0312805175781
,5257214323,-117.7106893,34.1045262,POINT (-117.7106893 34.1045262),386.6612243652344
,5257214325,-117.7106893,34.1044387,POINT (-117.7106893 34.1044387),386.5045166015625
,5366824702,-117.70762320000001,34.104463,POINT (-117.7076232 34.104463),388.6697387695312
,5257214329,-117.7106585,34.104373100000004,POINT (-117.7106585 34.1043731),386.3679809570312
,5257214334,-117.71063159999999,34.1044398,POINT (-117.7106316 34.1044398),386.4252014160156
,5257214335,-117.71063159999999,34.10452539999999,POINT (-117.7106316 34.1045254),386.6347351074219
,5257214336,-117.71066129999998,34.103815999999995,POINT (-117.7106613 34.103816),383.5850219726562
,5257214337,-117.7114894,34.1026543,POINT (-117.7114894 34.1026543),379.8387145996094
,5257214339,-117.71081000000001,34.1033093,POINT (-117.71081 34.1033093),383.1502075195312
,5257214341,-117.7095038,34.1032371,POINT (-117.7095038 34.1032371),382.9248657226562
stop,123586950,-117.71147990000001,34.10262279999999,POINT (-117.7114799 34.1026228),379.7656860351562
,5257214342,-117.7093058,34.103238299999994,POINT (-117.7093058 34.1032383),382.7485961914062
,5366824703,-117.707249,34.104463,POINT (-117.707249 34.104463),390.2205810546875
,2247762320,-117.7081591,34.1050973,POINT (-117.7081591 34.1050973),390.7146911621094
,5368738198,-117.7067517,34.1050476,POINT (-117.7067517 34.1050476),392.8314514160156
,5258514839,-117.7061696,34.1037732,POINT (-117.7061696 34.1037732),388.6230163574219
,5258514840,-117.7061784,34.1033976,POINT (-117.7061784 34.1033976),388.7356872558594
,5258514841,-117.706625,34.1033999,POINT (-117.706625 34.1033999),385.7159118652344
,5258514842,-117.7064875,34.103399200000005,POINT (-117.7064875 34.1033992),387.8403015136719
,5258514843,-117.7065445,34.1037747,POINT (-117.7065445 34.1037747),387.7152099609375
,5368738204,-117.70706740000001,34.104948900000004,POINT (-117.7070674 34.1049489),391.7639770507812
