access,area,geometry,highway,key,landuse,lanes,length,name,oneway,osmid,ref,service,u,v
,,"LINESTRING (-117.7071401 34.1008227, -117.70714 34.100846)",footway,0,,,2.591,,False,34036042,,,5366823867,5366823884
,,"LINESTRING (-117.7071401 34.1008227, -117.7071407 34.100578)",footway,0,,,27.209,,False,34036042,,,5366823867,5366823877
,,"LINESTRING (-117.7071401 34.1008227, -117.7070223 34.1007462)",footway,0,,,13.784,,False,556348884,,,5366823867,5366823868
,,"LINESTRING (-117.71156430379 34.10169745153, -117.71140963766 34.10153173105)",,0,,,23.289,,False,-50005,,,-39802,-39784
,,"LINESTRING (-117.71156430379 34.10169745153, -117.71138600157 34.10167954369)",,0,,,16.537,,False,-50005,,,-39802,-39800
,,"LINESTRING (-117.71156430379 34.10169745153, -117.71162329526 34.10169734918)",,0,,,5.432,,False,-57982,,,-39802,-57995
,,"LINESTRING (-117.71138600157 34.10167954369, -117.71137923136 34.10172188238)",,0,,,4.749,,False,-50001,,,-39800,-39786
,,"LINESTRING (-117.71138600157 34.10167954369, -117.71140963766 34.10153173105)",,0,,,16.579,,False,-50001,,,-39800,-39784
,,"LINESTRING (-117.71138600157 34.10167954369, -117.71156430379 34.10169745153)",,0,,,16.537,,False,-50005,,,-39800,-39802
,,"LINESTRING (-117.71143542574 34.10269902081, -117.71139532462 34.10256252129)",,0,,,15.621,,False,-50003,,,-39798,-39796
,,"LINESTRING (-117.71143542574 34.10269902081, -117.7114513 34.1027122, -117.7114563 34.1034576)",,0,,,84.95599999999999,Scripps College,False,289679164,,,-39798,2932296986
,,"LINESTRING (-117.71143542574 34.10269902081, -117.7113977 34.1026677, -117.7110812 34.10267, -117.7092358 34.1026611, -117.7091607 34.1026078, -117.7083794 34.1026078, -117.7081761 34.1026078, -117.7080342 34.1026078, -117.7072081 34.1026167, -117.7072242 34.1046066, -117.7075139 34.1046022, -117.7079108 34.1047221, -117.7087135 34.1051681, -117.7089774 34.1052484, -117.7109832 34.1052668, -117.7131226 34.1053296, -117.7130977 34.1034321, -117.7121353 34.1034333)",,0,,,1476.0110000000002,Scripps College,False,289679164,,,-39798,2932297913
,,"LINESTRING (-117.71143542574 34.10269902081, -117.7109347 34.1031139, -117.7108669 34.1031137)",footway,0,,,71.464,,False,"[543840924, 543842295]",,,-39798,5257230638
,,"LINESTRING (-117.71143542574 34.10269902081, -117.7114894 34.1026543, -117.71157635421 34.10259097241)",footway,0,,,17.692,,False,"[543840924, -58010]",,,-39798,-58012
,,"LINESTRING (-117.71139532462 34.10256252129, -117.71143542574 34.10269902081)",,0,,,15.621,,False,-50003,,,-39796,-39798
,,"LINESTRING (-117.71139532462 34.10256252129, -117.71157635421 34.10259097241)",,0,,,16.966,,False,-58015,,,-39796,-58012
