y_start,y_end,x_start,x_end,highway,oneway,edge_index
-117.7088844,-117.7088864,34.1000094,34.0999183,footway,False,63
-117.7088864,-117.708588,34.0999183,34.0999111,footway,False,63
-117.7044418,-117.7037102,34.1025229,34.1025076,unclassified,True,64
-117.7044418,-117.7044312,34.1025229,34.102601,service,False,65
-117.7087516,-117.7087838,34.1008767,34.1006612,footway,False,66
-117.7087838,-117.7087797,34.1006612,34.1006324,footway,False,66
-117.708588,-117.7085754,34.0999111,34.1008463,footway,False,67
-117.708588,-117.7084532,34.0999111,34.0999116,footway,False,68
-117.708588,-117.7088864,34.0999111,34.0999183,footway,False,69
-117.7088864,-117.7088844,34.0999183,34.1000094,footway,False,69
-117.7088844,-117.7087797,34.1000094,34.1006324,footway,False,69
-117.7084532,-117.708588,34.0999116,34.0999111,footway,False,70
-117.7110773,-117.7111066,34.0961335,34.0957254,residential,False,71
-117.7110773,-117.710013,34.0961335,34.09614,residential,False,72
-117.710013,-117.7099296,34.09614,34.0961296,residential,False,72
-117.7099296,-117.7098672,34.0961296,34.0961087,residential,False,72
-117.7098672,-117.7098012,34.0961087,34.0960671,residential,False,72
-117.7098012,-117.7097474,34.0960671,34.0960202,residential,False,72
-117.7097474,-117.709711,34.0960202,34.0959578,residential,False,72
-117.709711,-117.7096901,34.0959578,34.0958953,residential,False,72
-117.7096901,-117.7096035,34.0958953,34.0949564,residential,False,72
-117.7096035,-117.709617,34.0949564,34.0947719,residential,False,72
-117.7110773,-117.7110846,34.0961335,34.0962441,residential,False,73
-117.7110846,-117.7110891,34.0962441,34.0966474,residential,False,73
-117.7139573,-117.7131772,34.1016364,34.1016404,residential,False,74
-117.7139573,-117.7149283,34.1016364,34.1016339,residential,False,75
-117.7139573,-117.7139604,34.1016364,34.1018554,service,False,76
-117.7139604,-117.7139573,34.1018554,34.1016364,service,False,77
-117.7139604,-117.7139628,34.1018554,34.1020264,service,False,78
-117.7139604,-117.7146335,34.1018554,34.1018565,service,False,79
-117.7146335,-117.7146308,34.1018565,34.1020253,service,False,79
-117.7146308,-117.7139628,34.1020253,34.1020264,service,False,79
-117.7139628,-117.7139604,34.1020264,34.1018554,service,False,80
-117.7139628,-117.7146308,34.1020264,34.1020253,service,False,81
-117.7146308,-117.7146335,34.1020253,34.1018565,service,False,81
-117.7146335,-117.7139604,34.1018565,34.1018554,service,False,81
-117.7139628,-117.7139711,34.1020264,34.1026162,"['residential', 'service']",False,82
-117.7139711,-117.7131832,34.1026162,34.1026172,"['residential', 'service']",False,82
-117.7149324,-117.7149333,34.1024384,34.1026197,tertiary,False,83
-117.7149324,-117.7149283,34.1024384,34.1016339,tertiary,False,84
-117.7149324,-117.7148159,34.1024384,34.1024395,service,False,85
-117.7148159,-117.7147555,34.1024395,34.1024528,service,False,85
-117.7147555,-117.7147032,34.1024528,34.1024862,service,False,85
-117.7147032,-117.7146764,34.1024862,34.1025217,service,False,85
-117.7146764,-117.7146697,34.1025217,34.1025672,service,False,85
-117.7146697,-117.7146697,34.1025672,34.1026239,service,False,85
-117.7146697,-117.7146697,34.1026239,34.1026638,service,False,85
-117.7146697,-117.714675,34.1026638,34.1027105,service,False,85
-117.714675,-117.7146952,34.1027105,34.1027493,service,False,85
-117.7146952,-117.714722,34.1027493,34.1027693,service,False,85
-117.714722,-117.7147676,34.1027693,34.1027843,service,False,85
-117.7147676,-117.7148078,34.1027843,34.1027849,service,False,85
-117.7148078,-117.7149326,34.1027849,34.1027849,service,False,85
-117.7092997,-117.7093041,34.1029743,34.1031631,service,False,86
-117.7092997,-117.7093017,34.1029743,34.1026019,service,False,87
-117.7093017,-117.7114799,34.1026019,34.1026228,service,False,87
-117.7092997,-117.709206,34.1029743,34.1029669,path,False,88
-117.709206,-117.7090886,34.1029669,34.1029632,path,False,88
-117.7090886,-117.7089395,34.1029632,34.1029669,path,False,88
-117.7089395,-117.708682,34.1029669,34.1029782,path,False,88
-117.708682,-117.7084878,34.1029782,34.1029744,path,False,88
-117.7084878,-117.7083297,34.1029744,34.1029782,path,False,88
-117.7083297,-117.7082213,34.1029782,34.1029782,path,False,88
-117.7082213,-117.7081161,34.1029782,34.1029855,path,False,88
-117.7081161,-117.7081072,34.1029855,34.103225,service,False,89
